listing_id,price_segment,mean_price,neighbourhood,most_frequent_segment
463556,Luxury,200.0,Tower Hamlets,
463665,High-End,150.0,Redbridge,
464370,Luxury,289.17910447761193,Wandsworth,
464789,Budget,65.0,Hackney,Budget
465498,Mid-Range,99.0,Hackney,
465515,High-End,127.0,Islington,
465821,Mid-Range,110.0,Newham,
466058,Mid-Range,109.0,Hammersmith and Fulham,
466934,High-End,150.0,Tower Hamlets,
468033,High-End,154.0,Westminster,
468221,High-End,149.0,Southwark,
469125,Budget,70.0,Hackney,
469198,High-End,150.0,Tower Hamlets,
469199,Mid-Range,95.0,Hackney,
470153,Budget,66.0,Islington,
470205,High-End,175.0,Merton,
470503,Mid-Range,100.0,Hackney,
472083,Luxury,350.0,Islington,
473145,Luxury,250.0,Southwark,
473637,Superior,2000.0,Kensington and Chelsea,
476318,High-End,132.83582089552237,Wandsworth,
476659,Mid-Range,93.84677419354838,Southwark,Mid-Range
476808,Luxury,200.0,Kensington and Chelsea,
477286,Luxury,255.07329842931938,Brent,Luxury
478034,Budget,73.0,Tower Hamlets,
478135,Budget,85.0,Tower Hamlets,
478351,Budget,85.0,Tower Hamlets,
478506,Budget,75.0,Tower Hamlets,
478975,Mid-Range,110.12751677852349,Westminster,Mid-Range
478975,High-End,138.19327731092437,Westminster,Mid-Range
479546,High-End,179.0,Hammersmith and Fulham,
482178,High-End,140.0,City of London,
482685,Luxury,250.0,Camden,
484978,Luxury,202.8181818181818,Hammersmith and Fulham,Luxury
486032,Luxury,350.0,Hackney,
486501,Budget,65.0,Brent,
486627,Mid-Range,111.0,Islington,
487934,High-End,140.0,Tower Hamlets,
491583,Budget,89.0,Islington,
492883,High-End,150.0,Southwark,
492946,High-End,170.41044776119404,Westminster,
493679,High-End,140.0,Tower Hamlets,
494343,Mid-Range,119.2910447761194,Lambeth,
495153,Mid-Range,100.77118644067797,Lambeth,Mid-Range
495964,Mid-Range,105.67164179104478,Tower Hamlets,
497373,High-End,139.0,Southwark,
498610,High-End,150.0,Islington,
498888,High-End,180.0,Tower Hamlets,
499145,Mid-Range,100.0,Tower Hamlets,
499555,Budget,50.0,Southwark,
500985,High-End,180.0,Brent,
501458,Mid-Range,125.0,Haringey,
501544,High-End,150.0,Lambeth,High-End
501837,Mid-Range,99.0,Camden,
502093,Budget,75.0,Southwark,
503274,High-End,130.0,Hackney,
503331,Mid-Range,113.0,Hackney,
504310,Mid-Range,115.0,Tower Hamlets,Mid-Range
506980,Luxury,250.0,Hammersmith and Fulham,
506997,High-End,130.0,Lambeth,
507677,Mid-Range,110.65298507462687,Kensington and Chelsea,
507962,High-End,150.0,Wandsworth,
508343,Budget,89.0,Wandsworth,Budget
509099,Luxury,335.0,Tower Hamlets,
510116,Budget,86.3125,Wandsworth,Mid-Range
510116,Mid-Range,95.58571428571429,Wandsworth,Mid-Range
510386,High-End,180.0,Tower Hamlets,
510940,High-End,143.69402985074626,Islington,
511429,Mid-Range,121.66504854368932,Islington,Mid-Range
511768,High-End,130.0,Newham,
512573,Mid-Range,120.0,Lambeth,
512822,Mid-Range,100.0,Islington,
513198,Mid-Range,95.0,Lambeth,
515149,High-End,140.0,Hammersmith and Fulham,
515327,Budget,55.735074626865675,Hounslow,
516849,High-End,130.0,Islington,
517283,High-End,150.0,Redbridge,
517941,High-End,195.0,Hackney,
518298,High-End,150.0,Hackney,
519296,Mid-Range,119.0,Tower Hamlets,
519660,Mid-Range,95.0,Camden,
520350,Mid-Range,110.51834862385321,Islington,Mid-Range
520388,Superior,395.0,Westminster,
520962,High-End,160.0,Hackney,
521359,Budget,70.5223880597015,Lambeth,
521982,Mid-Range,112.83582089552239,Tower Hamlets,
522467,Luxury,200.0,Westminster,
522729,High-End,140.0,Tower Hamlets,
522797,High-End,150.0,Tower Hamlets,
522824,Luxury,260.0,Lewisham,
523160,Budget,79.0,Hackney,
523811,Budget,86.0,Haringey,
524701,Mid-Range,125.0,Hackney,Mid-Range
525005,Luxury,200.0,Southwark,
525056,Luxury,200.0,Barnet,
525339,Mid-Range,120.0,Camden,
526025,Budget,75.0,Waltham Forest,Budget
526267,Superior,366.0,Newham,
526878,High-End,150.0,Redbridge,
527829,Budget,86.0,Wandsworth,
528001,Mid-Range,107.20522388059702,Haringey,
528895,Luxury,275.0,Southwark,
529558,High-End,169.56451612903226,Camden,High-End
529947,Luxury,310.72033898305085,Islington,Luxury
530432,High-End,131.14932126696831,Tower Hamlets,High-End
